Animal Name,Representative Name
Giant cuttlefish,Giant Cuttlefish
Leaffish,Leaffish
Leaf fish,Leaffish
Napoleon fish,Napoleon Fish
Blacktip reef shark,Blacktip Shark
Black tip reef shark,Blacktip Shark
Blacktip reef sharks,Blacktip Shark
Blacktip shark,Blacktip Shark
Grey sharks,Grey Sharks
Silvertip sharks,Silvertip Shark
Silvertip shark,Silvertip Shark
Salpe,Salpe
Mobula rays,Mobula Ray
Mobular rays,Mobula Ray
Mobula ray,Mobula Ray
Turtle,Turtle
Turtles,Turtle
Reef fish ( scorpionfish,Reef Fish Scorpionfish
Sweetlips,Sweetlips
Lionfish etc),Lionfish Etc
Comet fish,Comet Fish
Tiger shark,Tiger Shark
Lemon shark,Lemon Shark
Reef fish,Reef Fish
Bream,Bream
Old wives,Old Wive
Old wive,Old Wive
Gray reef shark,Gray Reef Shark
Grey reef shark,Gray Reef Shark
Blue-ringed octopus,Bluering Octopus
Blue ringed octopus,Bluering Octopus
Bluering octopus,Bluering Octopus
Trout,Trout
Pelagic fish,Pelagic Fish
Cownose ray,Cownose Ray
Common dolphin,Common Dolphin
Freshwater fish,Freshwater Fish
Freshwater crayfish,Freshwater Fish
Freshwater jellyfish,Freshwater Fish
Honeycomb moray,Honeycomb Moray
Sharks,Sharks
Sunfish (mola mola),Sunfish Mola Mola
Sea lion,Sealion
Sea lions,Sealion
Sealion,Sealion
Tuna,Tuna
Giant moray,Giant Moray
Garden eels,Garden Eels
Ribbon eel,Ribbon Eel
Gorgonian fan,Gorgonian Fan
Bottlenose dolphin,Bottlenose Dolphin
Leopard shark,Leopard Shark
Loggerhead turtle,Loggerhead Turtle
Mobula,Mobula
Guitar shark,Guitar Shark
Galapagos sharks,Galapagos Sharks
Humpback whale,Humpback Whale
Hump back wahles,Humpback Whale
Minke whale,Minke Whale
Butterfly ray,Butterfly Ray
Green turtle,Green Turtle
Green turtles,Green Turtles
Green sea turtle,Green Turtles
Rainbow wrasse,Rainbow Wrasse
Perch,Perch
Swordfish,Swordfish
Goldsinny wrasse,Goldsinny Wrasse
Common cuttlefish,Common Cuttlefish
Carp,Carp
Anemone fish,Anemone Fish
Ornate ghost pipefish,Ornate Ghost Pipefish
Yellow lipped seakraite,Yellow Lipped Seakraite
Sharks (white tip reef shark,Sharks White Tip Reef Shark
Cat sharks etc),Cat Sharks Etc
Reef manta,Reef Manta
Ornate wrasse,Ornate Wrasse
Humphead parrotfish,Humphead Parrotfish
Jenkins ray,Jenkins Ray
Common stingray,Common Stingray
Seabream,Seabream
Amberjack,Amberjack
Amber jack,Amberjack
Kingfish,Kingfish
Roncadors (grunts),Roncadors Grunts
Common octopus,Common Octopus
Filefishes,Filefish
File fish,Filefish
Bull ray,Bull Ray
Bull rays,Bull Ray
Yellowtail,Yellowtail
Green sea turtles,Green Turtles
Whitemouth moray,Whitemouth Moray
Reef sharks,Reef Shark
Reef shark,Reef Shark
Muray,Muray
Green moray eel,Green Moray
Green moray,Green Moray
Bull shark,Bull Shark
Bluegill,Bluegill
Blue gill,Bluegill
Bass,Bass
Crappie,Crappie
Manta,Manta
Mantas,Manta
Blue shark,Blue Shark
Mako shark,Mako Shark
Anemones,Anemones
Fusilier,Fusilier
Sea otter,Sea Otter
Harbor seal,Harbor Seal
Kelp forest,Kelp Forest
Kelp forests,Kelp Forest
Seastars,Seastars
Fur seal,Fur Seal
Pygmy seahorses,Pygmy Seahorse
Pygmy seahorse,Pygmy Seahorse
Pygmy sea hose,Pygmy Seahorse
Blue spotted stingray,Blue Spotted Ray
Bluespotted stingray,Blue Spotted Ray
Blue spotted ray,Blue Spotted Ray
Pollack,Pollack
Large mouth bass,Largemouth Bass
Largemouth bass,Largemouth Bass
Goliath grouper,Goliath Grouper
Caribbean reef shark,Caribbean Reef Shark
Snake eel,Snake Eel
Striped bass,Striped Bass
Stripped bass,Striped Bass
Garibaldi,Garibaldi
Sheepshead,Sheepshead
Calico bass,Calico Bass
Giant black sea bass (wreck fish),Giant Black Sea Bass Wreck Fish
Blue banded gobi,Blue Banded Gobi
White sea bass,White Sea Bass
Kuhl’s stingray,Kuhls Stingray
Kuhls stingray,Kuhls Stingray
Feathertail ray,Feathertail Ray
Soldierfish,Soldierfish
Emperors,Emperors
Rudd,Rudd
White spotted eagle ray,White Spotted Eagle Ray
Oceanic manta,Oceanic Manta
Yellowfins tuna,Yellowfins Tuna
Trevally,Trevally
Conger eel,Conger Eel
Conger eal,Conger Eel
Blue-fin damselfish,Blue-Fin Damselfish
Zebra (leopard) shark,Zebra Leopard Shark
Sergeant major,Sergent Mayor
Sargeant majors,Sergent Mayor
Sergent mayor,Sergent Mayor
Red snapper,Red Snapper
Bluestripe snapper (invasive),Bluestripe Snapper Invasive
Sardines,Sardines
Small mouth bass,Smallmouth Bass
Smallmouth bass,Smallmouth Bass
Walleye,Walleye
Turtles (green and hawksbill),Turtles Green And Hawksbill
Pipehorse,Pipehorse
Great white shark,Great White Shark
Grey angelfish,Grey Angelfish
Rock beauty,Rock Beauty
Foureye butterflyfish,Foureye Butterflyfish
Peacock grouper (invasive),Peacock Grouper Invasive
Pork fish,Pork Fish
Golden trevally,Golden Trevally
Spadefish,Spadefish
Colourful wrasse species,Colourful Wrasse Species
Trunkfish,Trunkfish
Trunk fish,Trunkfish
Southern stingray,Souther Stingray
Southern stingrays,Souther Stingray
